",Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure_Days,total_spendings,Total_Children,Living_With"
"320,Graduate,64795.0,23,3,3,3,12,2,0,0,55,528,680,1,Partner"
"321,Graduate,34421.0,81,1,1,0,2,7,0,0,52,363,30,1,Partner"
"322,Postgraduate,47025.0,6,1,1,0,2,7,0,0,61,140,20,2,Alone"
"323,Postgraduate,64325.0,41,5,10,3,5,7,0,0,65,507,1307,1,Alone"
"324,Graduate,40464.0,78,6,8,2,8,8,0,0,73,534,630,1,Alone"
"325,Graduate,62187.0,49,1,4,8,5,3,0,0,69,359,1283,0,Partner"
"326,Postgraduate,14849.0,39,3,2,0,4,8,0,0,50,362,65,1,Alone"
"327,Graduate,27255.0,3,1,1,0,3,7,0,0,42,234,37,1,Partner"
"328,Postgraduate,54432.0,37,1,1,0,3,4,0,0,76,416,38,3,Partner"
"329,Postgraduate,29999.0,22,4,3,1,4,8,0,0,40,501,160,1,Alone"
"330,Graduate,24072.0,79,1,1,0,2,8,0,0,43,439,23,1,Alone"
"331,Postgraduate,33996.0,46,1,1,1,3,4,0,0,37,291,71,0,Alone"
"332,Postgraduate,66334.0,82,2,9,3,5,5,0,1,70,452,1161,1,Partner"
"333,Postgraduate,35178.0,10,1,1,1,2,7,0,1,55,535,59,1,Partner"
"334,Graduate,22010.0,51,2,2,0,3,8,0,0,43,364,33,1,Partner"
"335,Graduate,62204.0,38,1,4,5,12,3,0,0,66,655,946,2,Alone"
"336,Graduate,75693.0,10,1,11,4,6,4,0,1,58,570,1442,0,Alone"
"337,Graduate,30675.0,14,1,1,0,3,8,0,0,54,594,62,1,Partner"
"338,Graduate,83003.0,18,1,7,6,8,3,0,1,61,483,1674,0,Partner"
"340,Graduate,68655.0,95,1,4,5,11,3,0,0,38,688,1538,0,Alone"
"341,Graduate,41411.0,11,1,2,1,4,6,0,0,40,204,139,0,Alone"
"342,Postgraduate,55212.0,65,3,4,2,11,8,0,0,57,583,1182,1,Partner"
"343,Postgraduate,59292.0,71,2,3,5,8,3,0,0,76,381,507,1,Partner"
"344,Undergraduate,27190.0,13,1,1,0,2,8,0,1,53,318,18,1,Partner"
"345,Graduate,82623.0,58,1,2,9,4,1,0,0,74,231,940,0,Alone"
"346,Graduate,44300.0,65,2,1,0,3,6,0,0,61,371,42,2,Partner"
"347,Graduate,84835.0,0,1,4,4,6,1,0,1,56,13,1190,0,Alone"
"348,Graduate,30372.0,33,3,2,0,3,7,0,0,55,551,44,2,Alone"
"349,Postgraduate,33181.0,90,1,1,0,2,6,0,0,50,177,16,1,Partner"
"350,Graduate,71113.0,95,4,6,7,9,4,0,0,69,194,835,1,Partner"
"351,Graduate,71952.0,93,2,8,4,8,4,0,0,40,535,1443,1,Partner"
"352,Postgraduate,69759.0,38,3,4,6,5,3,0,1,60,244,1029,0,Alone"
"353,Graduate,72099.0,18,1,3,4,10,1,0,0,52,610,1188,0,Partner"
"354,Postgraduate,60000.0,57,5,11,3,5,6,0,0,50,554,1277,1,Alone"
"355,Graduate,38643.0,45,2,2,0,3,7,1,0,48,212,49,2,Alone"
"356,Graduate,50737.0,61,1,2,0,4,6,0,0,71,414,99,1,Partner"
"357,Postgraduate,68462.0,6,1,3,3,8,1,0,0,57,564,1670,0,Partner"
"358,Postgraduate,65073.0,65,1,5,3,5,2,1,0,83,313,900,0,Partner"
"359,Postgraduate,46681.0,52,2,4,6,4,5,0,0,78,264,425,2,Partner"
"360,Graduate,78618.0,87,1,4,7,10,2,0,0,69,639,2153,0,Partner"
"361,Postgraduate,62187.0,38,3,6,2,10,4,0,0,57,99,636,1,Alone"
"362,Graduate,28442.0,53,3,2,1,4,4,0,0,48,125,57,2,Partner"
"363,Postgraduate,37717.0,31,1,1,0,2,9,0,0,48,583,25,1,Partner"
"364,Graduate,51479.0,67,7,6,3,6,7,0,0,59,548,494,2,Partner"
"365,Graduate,54803.0,65,2,6,2,9,4,0,0,57,677,693,1,Alone"
"366,Graduate,79530.0,64,1,4,10,11,2,0,0,66,408,1348,0,Partner"
"367,Graduate,31615.0,82,2,2,0,3,7,0,0,50,470,51,1,Alone"
"368,Graduate,72025.0,27,1,4,3,8,3,0,0,64,589,1932,0,Partner"
"369,Postgraduate,52614.0,63,2,2,4,8,8,0,0,51,575,990,1,Alone"
"370,Undergraduate,35684.0,66,1,1,0,3,6,0,0,42,68,30,1,Partner"
"371,Graduate,48178.0,69,6,5,1,4,8,0,0,51,609,254,2,Partner"
"372,Postgraduate,29548.0,52,1,1,1,2,4,0,0,56,304,29,1,Alone"
"373,Graduate,63810.0,45,4,4,3,12,8,0,0,60,595,1371,1,Alone"
"374,Postgraduate,38578.0,2,3,3,0,3,8,0,1,54,372,73,2,Alone"
"375,Postgraduate,46098.0,86,4,3,2,2,8,0,0,51,680,120,2,Alone"
"376,Graduate,22585.0,23,1,1,1,2,9,0,1,56,468,81,0,Alone"
"377,Graduate,30279.0,13,1,1,0,3,8,0,0,37,546,37,1,Alone"
"378,Postgraduate,66426.0,14,2,3,5,10,6,0,0,65,270,1377,1,Partner"
"379,Graduate,30822.0,92,1,1,0,3,7,0,0,57,380,51,1,Alone"
"380,Postgraduate,33581.0,38,1,1,0,2,8,0,0,57,537,17,2,Partner"
"381,Graduate,19986.0,74,1,0,0,3,7,0,0,41,227,22,1,Partner"
"382,Graduate,27421.0,14,3,4,1,6,7,0,0,72,564,324,0,Alone"
"383,Undergraduate,35688.0,94,7,4,1,4,8,0,0,53,676,211,3,Partner"
"384,Postgraduate,36143.0,33,1,0,1,2,3,0,0,45,91,19,1,Alone"
"385,Graduate,10245.0,32,3,1,2,2,5,0,0,55,410,41,1,Alone"
"386,Postgraduate,43795.0,11,3,7,3,4,7,0,1,58,256,492,1,Partner"
"387,Graduate,63381.0,78,4,4,5,13,2,0,0,66,632,1005,1,Partner"
"388,Graduate,38823.0,56,1,2,1,3,6,0,0,77,668,114,1,Partner"
"389,Postgraduate,83664.0,57,3,2,2,12,5,0,0,58,417,1173,2,Alone"
"390,Graduate,90300.0,7,0,5,6,8,1,0,0,47,177,1738,0,Partner"
"391,Postgraduate,62499.0,0,2,3,1,6,4,0,0,47,202,222,1,Partner"
"392,Graduate,74293.0,66,1,5,4,6,2,0,0,33,56,1127,0,Alone"
"393,Postgraduate,51012.0,86,1,4,1,4,6,0,0,80,437,209,0,Partner"
"394,Postgraduate,70777.0,80,3,5,3,12,3,0,0,58,124,787,1,Partner"
"395,Postgraduate,68682.0,56,1,4,9,10,2,0,0,35,266,1598,0,Partner"
"396,Graduate,43824.0,18,4,3,1,4,8,0,0,55,652,186,2,Partner"
"397,Graduate,15345.0,51,2,1,1,2,8,0,1,42,667,47,1,Partner"
"398,Graduate,23442.0,71,1,1,0,3,7,0,0,39,552,27,1,Alone"
"399,Undergraduate,14515.0,71,4,2,2,3,7,0,1,46,597,96,1,Partner"
"400,Undergraduate,31395.0,80,4,2,1,3,6,0,0,70,463,64,2,Alone"
"401,Graduate,75276.0,2,1,9,4,9,5,0,0,61,640,1040,0,Partner"
"402,Graduate,42373.0,83,5,2,1,5,5,0,0,52,318,163,2,Alone"
"403,Graduate,30507.0,29,1,5,1,4,7,0,0,66,475,343,0,Partner"
"404,Postgraduate,55521.0,11,9,6,3,6,7,0,1,71,250,446,3,Alone"
"405,Graduate,48006.0,55,1,1,0,3,6,0,0,61,20,41,2,Partner"
"406,Postgraduate,27213.0,19,3,2,0,4,8,0,1,54,668,70,1,Alone"
"407,Postgraduate,65808.0,1,3,5,1,5,6,0,0,55,30,272,2,Alone"
"408,Postgraduate,30351.0,19,1,3,0,2,9,0,0,52,388,46,1,Partner"
"409,Graduate,50437.0,28,3,7,1,8,7,0,0,63,620,490,2,Partner"
"410,Undergraduate,23616.0,76,2,3,0,3,8,0,1,44,589,79,1,Alone"
"411,Graduate,53858.0,50,4,4,3,6,4,0,0,50,597,915,1,Partner"
"412,Postgraduate,66465.0,1,3,11,9,12,6,0,0,71,456,1485,1,Partner"
"413,Graduate,46923.0,90,3,5,1,7,7,0,0,39,676,369,1,Alone"
"414,Graduate,75072.0,83,2,5,4,8,3,0,0,64,522,1073,1,Partner"
"415,Postgraduate,75865.0,73,1,3,5,10,1,0,0,83,90,1242,0,Partner"
"416,Undergraduate,19789.0,24,3,2,1,3,5,0,0,51,221,78,1,Partner"
"417,Graduate,80134.0,11,1,2,7,11,5,0,0,32,135,1378,0,Partner"
"418,Graduate,91065.0,33,1,7,9,9,3,0,1,45,492,1474,0,Alone"
"419,Postgraduate,49505.0,4,9,10,2,8,8,0,0,55,481,751,2,Partner"
"420,Postgraduate,37401.0,14,2,2,0,3,7,0,0,53,54,48,1,Partner"
"421,Graduate,30096.0,30,1,2,0,3,6,0,0,43,38,45,1,Partner"
"422,Postgraduate,18492.0,75,1,1,0,2,8,0,0,44,24,10,1,Partner"
"423,Postgraduate,82584.0,26,1,3,4,8,1,0,1,52,390,1435,0,Partner"
"424,Postgraduate,93027.0,77,0,7,10,5,2,0,0,85,442,2119,0,Partner"
"425,Graduate,48686.0,8,1,1,0,2,8,0,0,73,207,20,3,Partner"
"426,Graduate,92910.0,42,1,6,7,13,1,0,0,40,66,1795,0,Partner"
"427,Graduate,75433.0,28,2,2,5,10,6,0,0,37,85,1188,1,Partner"
"428,Undergraduate,10404.0,52,2,1,0,4,5,0,0,37,56,43,1,Partner"
"429,Graduate,61314.0,1,2,5,5,12,3,0,0,58,430,1008,1,Partner"
"430,Postgraduate,84865.0,1,1,2,4,9,4,0,1,65,416,1688,0,Alone"
"431,Graduate,42387.0,42,5,8,1,7,8,0,0,37,608,684,1,Partner"
"432,Undergraduate,67309.0,76,15,9,6,9,7,0,0,59,522,1082,2,Partner"
"433,Graduate,75236.0,27,1,8,3,13,4,0,0,62,216,1068,1,Partner"
"434,Graduate,30015.0,28,2,1,0,4,5,0,0,56,147,57,1,Alone"
"435,Postgraduate,50943.0,49,1,1,0,3,5,0,0,70,373,46,1,Partner"
"436,Graduate,67272.0,12,3,6,2,12,5,0,0,60,190,733,1,Alone"
"437,Postgraduate,51529.0,14,2,9,1,5,8,0,0,77,295,467,1,Alone"
"438,Postgraduate,32011.0,89,3,2,1,4,7,0,0,55,311,122,1,Partner"
"439,Undergraduate,7500.0,96,2,2,0,3,8,0,0,40,507,36,1,Partner"
"440,Graduate,28691.0,56,1,1,0,3,8,0,0,37,360,34,1,Partner"
"441,Postgraduate,56223.0,72,2,2,1,5,4,0,0,78,191,156,1,Partner"
"442,Graduate,18100.0,14,1,0,0,3,5,0,0,80,327,14,0,Partner"
"443,Graduate,30279.0,13,1,1,0,3,8,0,0,37,546,37,1,Alone"
"444,Undergraduate,20130.0,99,1,1,0,3,8,0,0,52,104,34,0,Partner"
"445,Graduate,23295.0,72,1,1,0,2,8,0,0,67,351,20,0,Alone"
"446,Postgraduate,42618.0,92,2,5,0,4,8,0,0,54,263,192,1,Alone"
"447,Graduate,81246.0,87,1,4,5,7,1,0,0,62,182,1379,0,Alone"
"448,Graduate,24027.0,7,2,2,0,3,8,0,0,50,385,48,1,Partner"
"449,Postgraduate,55707.0,91,2,3,2,9,3,0,0,73,189,428,1,Partner"
"450,Graduate,57959.0,71,5,4,7,11,3,0,0,71,423,868,1,Alone"
"451,Graduate,56796.0,24,3,8,9,7,7,0,0,57,498,1001,1,Partner"
"452,Postgraduate,36230.0,17,1,2,0,4,5,0,0,55,255,59,1,Alone"
"453,Undergraduate,70829.0,87,2,4,2,8,3,0,0,46,210,431,2,Partner"
"454,Graduate,65991.0,21,3,9,5,10,7,0,0,50,660,971,1,Partner"
"455,Graduate,38988.0,90,7,5,1,6,8,0,0,54,678,348,3,Partner"
"456,Undergraduate,89572.0,44,1,7,7,9,4,0,1,60,652,2059,0,Alone"
"457,Postgraduate,42207.0,71,4,4,1,5,6,0,1,42,454,265,1,Partner"
"458,Graduate,50300.0,52,2,2,1,8,2,0,0,74,35,270,1,Partner"
"459,Undergraduate,66664.0,78,1,5,7,6,3,0,0,44,642,1289,0,Partner"
"460,Graduate,60597.0,2,4,2,2,8,7,0,1,62,179,893,1,Partner"
"461,Graduate,70165.0,60,1,3,7,11,1,0,0,77,280,926,0,Alone"
"462,Postgraduate,50520.0,25,2,3,1,3,6,0,0,68,152,135,1,Alone"
"463,Graduate,80124.0,47,1,3,7,8,1,0,0,63,3,1495,0,Partner"
"464,Graduate,33183.0,46,2,4,0,3,7,0,0,51,125,120,1,Partner"
"465,Postgraduate,66582.0,83,1,2,8,9,1,0,0,57,118,1288,0,Alone"
"466,Postgraduate,75261.0,17,1,5,6,5,2,0,1,71,432,1743,0,Partner"
"467,Graduate,31880.0,13,1,1,0,2,8,0,0,56,606,15,1,Alone"
"468,Graduate,53790.0,86,3,7,2,8,6,0,0,75,115,542,2,Partner"
"469,Postgraduate,49269.0,92,3,7,3,12,7,0,0,55,683,890,1,Partner"
"470,Graduate,61456.0,47,4,6,10,13,4,0,0,51,459,1388,1,Partner"
"471,Graduate,37406.0,18,1,1,0,2,8,0,1,46,262,17,1,Partner"
"472,Postgraduate,56937.0,81,7,8,6,9,6,0,1,45,694,906,1,Partner"
"473,Graduate,38415.0,91,2,1,0,3,7,0,0,48,543,44,2,Partner"
"474,Graduate,20518.0,58,1,1,1,2,5,0,0,38,42,25,1,Alone"
"475,Graduate,62503.0,40,4,8,3,11,5,0,0,70,496,973,1,Partner"
"476,Postgraduate,41644.0,67,2,1,0,3,3,0,0,54,51,31,2,Alone"
"477,Postgraduate,55842.0,19,1,7,1,8,5,0,0,49,37,518,1,Partner"
"478,Postgraduate,62010.0,93,4,6,2,7,5,0,0,54,614,530,1,Partner"
"479,Graduate,41124.0,41,7,7,3,4,8,0,0,49,606,506,1,Partner"
"480,Postgraduate,38961.0,60,1,2,1,2,7,0,0,53,181,70,1,Partner"
"481,Postgraduate,37760.0,54,1,2,0,3,6,0,0,54,322,54,1,Alone"
"482,Graduate,32233.0,26,2,6,2,2,9,0,1,52,679,296,1,Alone"
"483,Graduate,43057.0,30,4,4,2,5,5,0,0,51,242,266,1,Partner"
"484,Postgraduate,83151.0,93,1,5,9,4,3,0,0,66,627,747,0,Partner"
"485,Postgraduate,78825.0,35,1,5,10,13,3,0,1,62,653,895,0,Alone"
"486,Postgraduate,65104.0,4,2,3,5,7,7,0,0,50,227,1053,1,Partner"
"487,Graduate,60093.0,92,2,7,2,10,6,0,0,52,368,735,1,Partner"
"488,Graduate,14045.0,24,1,1,0,3,7,0,0,57,154,20,1,Partner"
"489,Undergraduate,28457.0,96,1,4,1,4,8,0,0,74,609,205,0,Alone"
"490,Postgraduate,78952.0,11,2,2,5,12,6,0,0,68,643,2092,1,Partner"
"491,Graduate,46310.0,99,2,6,1,5,8,0,0,50,573,309,1,Alone"
"492,Graduate,76005.0,72,1,3,5,13,6,0,0,71,492,1722,0,Partner"
"493,Postgraduate,58308.0,77,4,2,6,3,8,0,0,62,533,900,1,Alone"
"494,Postgraduate,55614.0,85,1,9,4,6,7,0,0,82,214,682,0,Alone"
"495,Postgraduate,59432.0,88,3,5,3,11,5,0,0,64,442,663,1,Alone"
"496,Graduate,55563.0,22,1,2,0,3,3,0,0,48,85,43,1,Alone"
"497,Postgraduate,78642.0,83,1,4,9,4,6,0,0,55,434,1816,1,Partner"
"498,Postgraduate,67911.0,63,3,6,7,11,3,0,0,77,38,976,1,Partner"
"499,Graduate,65275.0,9,1,4,3,13,2,0,0,82,452,746,0,Partner"
"500,Graduate,27203.0,92,2,1,1,2,8,0,0,76,692,64,2,Partner"
"501,Postgraduate,48330.0,2,1,1,0,3,5,0,0,65,226,32,1,Partner"
"502,Undergraduate,24279.0,6,1,4,1,3,8,0,0,36,547,263,0,Partner"
"503,Postgraduate,64355.0,66,2,4,3,12,8,0,0,41,674,1445,1,Partner"
"504,Postgraduate,50943.0,49,1,1,0,3,5,0,0,70,373,46,1,Partner"
"505,Graduate,53653.0,29,2,10,4,12,6,0,0,73,599,1210,0,Alone"
"506,Graduate,65665.0,77,1,5,10,8,3,0,0,50,209,945,1,Partner"
"507,Graduate,81217.0,77,1,3,7,11,1,0,0,37,345,1157,0,Alone"
"508,Graduate,34935.0,71,1,2,1,4,7,0,0,34,373,137,0,Partner"
"509,Graduate,61250.0,49,6,5,2,12,5,0,0,67,560,730,1,Alone"
"510,Postgraduate,39665.0,97,3,4,2,3,7,0,0,45,400,216,1,Partner"
"511,Graduate,60152.0,6,1,6,4,12,3,0,0,47,458,943,1,Alone"
"512,Graduate,48920.0,93,3,6,2,5,7,0,0,62,252,347,2,Partner"
"513,Postgraduate,89120.0,78,1,5,6,7,1,0,0,67,104,1924,0,Partner"
"514,Postgraduate,44124.0,62,4,6,2,5,8,0,0,80,414,397,1,Partner"
"515,Postgraduate,81169.0,47,1,5,7,9,2,0,0,51,441,2089,0,Alone"
"516,Graduate,36443.0,9,4,3,1,3,8,0,0,65,511,138,2,Partner"
"517,Graduate,26095.0,77,1,1,0,3,7,0,0,36,364,42,1,Alone"
"518,Graduate,71367.0,24,1,4,5,7,2,0,0,67,310,777,0,Partner"
"519,Postgraduate,80184.0,19,1,6,3,10,3,0,0,82,120,1902,0,Partner"
"520,Graduate,30630.0,67,2,2,0,3,7,0,0,61,153,52,2,Alone"
"521,Postgraduate,73454.0,95,1,2,4,6,5,0,0,39,120,1651,0,Alone"
"522,Graduate,42691.0,48,1,5,1,6,5,0,0,35,317,358,0,Partner"
"523,Graduate,70503.0,73,1,2,4,9,6,0,0,73,637,1727,0,Partner"
"524,Graduate,25545.0,35,3,2,2,3,6,0,1,39,659,210,1,Partner"
"525,Graduate,32880.0,76,1,1,0,3,8,0,0,40,572,42,1,Partner"
"526,Postgraduate,77863.0,20,1,4,5,10,2,0,0,68,214,1291,0,Partner"
"527,Postgraduate,50353.0,72,1,4,4,6,3,0,0,49,21,442,0,Partner"
"528,Graduate,61839.0,20,1,4,8,4,8,0,0,62,686,1895,0,Alone"
"529,Postgraduate,49154.0,69,6,4,1,8,6,0,0,66,238,411,2,Partner"
"530,Undergraduate,47682.0,80,4,4,3,8,5,0,0,51,499,521,1,Alone"
"531,Graduate,72679.0,65,1,4,7,5,1,0,0,57,284,1168,1,Alone"
"532,Postgraduate,57954.0,52,7,8,2,6,7,0,0,49,11,493,2,Partner"
"533,Graduate,65316.0,65,2,3,2,5,4,0,0,64,431,260,2,Partner"
"534,Graduate,28567.0,57,2,2,0,3,6,0,0,44,377,46,1,Alone"
"535,Postgraduate,47352.0,70,4,6,1,5,7,0,0,75,444,319,1,Partner"
"536,Graduate,44931.0,0,1,2,1,3,5,0,0,59,162,96,1,Partner"
"537,Graduate,76982.0,19,1,8,3,4,4,0,1,59,134,1062,0,Alone"
"538,Undergraduate,57247.0,50,2,2,1,7,2,0,0,74,325,232,1,Partner"
"539,Postgraduate,22944.0,67,3,3,0,3,7,0,0,45,188,76,1,Alone"
"540,Undergraduate,25315.0,46,3,3,0,3,8,0,0,49,234,54,1,Partner"
"541,Graduate,43638.0,37,2,4,1,4,7,0,0,57,692,201,1,Alone"
"542,Postgraduate,42710.0,38,2,4,5,3,6,0,0,42,578,406,1,Alone"
"543,Postgraduate,84169.0,9,1,7,6,6,3,0,1,44,326,1919,0,Partner"
"544,Graduate,54058.0,56,2,4,6,8,3,0,0,50,390,662,1,Partner"
"545,Undergraduate,24683.0,98,2,2,0,4,5,0,0,36,113,41,1,Partner"
"546,Graduate,85620.0,68,1,3,6,4,1,0,1,62,173,1600,0,Alone"
"547,Graduate,47850.0,72,1,3,0,4,6,0,0,46,208,134,1,Partner"
"548,Graduate,19514.0,47,4,3,1,2,8,0,1,58,154,69,2,Partner"
"549,Postgraduate,27159.0,33,2,1,0,3,6,0,0,53,92,21,2,Partner"
"550,Undergraduate,39548.0,87,2,1,1,3,3,0,0,63,90,54,2,Alone"
"551,Graduate,21474.0,0,2,3,1,2,7,0,1,37,82,91,1,Alone"
"552,Postgraduate,60504.0,73,2,6,2,8,6,0,0,55,142,526,1,Alone"
"553,Graduate,22419.0,74,1,3,2,2,8,0,0,63,437,162,0,Partner"
"554,Postgraduate,81698.0,4,1,3,8,13,1,0,1,77,235,1008,0,Partner"
"555,Graduate,43462.0,50,6,4,1,5,8,0,0,74,655,240,2,Partner"
"556,Postgraduate,54880.0,57,2,6,2,11,5,0,0,48,485,795,1,Alone"
"557,Graduate,79908.0,30,1,5,6,7,2,0,0,44,450,1772,0,Partner"
"558,Undergraduate,15315.0,27,2,2,0,4,5,0,0,56,330,64,0,Partner"
"559,Graduate,87771.0,61,1,5,10,4,6,0,1,67,403,1957,1,Partner"
"560,Graduate,33039.0,4,1,2,0,4,5,0,0,48,293,78,1,Partner"
"561,Graduate,81741.0,75,0,6,6,7,2,0,0,46,378,1572,0,Alone"
"562,Postgraduate,71499.0,12,2,8,3,13,4,0,0,55,369,795,1,Partner"
"563,Undergraduate,62466.0,13,5,6,3,12,4,0,0,56,165,889,1,Partner"
"564,Postgraduate,48799.0,9,3,3,2,7,3,0,0,63,236,331,1,Alone"
"565,Postgraduate,52157.0,48,2,3,2,5,4,0,0,76,22,265,1,Partner"
"566,Graduate,66565.0,80,4,4,2,9,8,0,0,64,571,1065,1,Alone"
"567,Postgraduate,29298.0,60,1,1,0,2,5,0,0,75,295,11,2,Partner"
"568,Graduate,47691.0,43,1,1,0,2,6,0,0,47,359,21,1,Alone"
"569,Graduate,38200.0,19,1,1,0,2,7,0,0,56,569,17,2,Partner"
"570,Graduate,44989.0,26,5,5,1,5,6,0,0,52,655,369,1,Partner"
"571,Postgraduate,38443.0,58,2,1,0,3,7,0,0,58,153,38,2,Partner"
"572,Undergraduate,38593.0,42,3,4,1,3,8,0,0,48,289,177,1,Alone"
"573,Postgraduate,64413.0,27,1,5,1,5,5,0,0,56,332,279,1,Partner"
"574,Postgraduate,36959.0,56,2,2,0,3,8,0,0,45,270,62,1,Partner"
"575,Postgraduate,61996.0,27,3,6,4,8,5,0,1,49,514,1230,1,Partner"
"576,Graduate,51287.0,10,3,4,1,3,7,0,0,58,89,182,2,Partner"
"577,Graduate,13260.0,48,4,3,0,3,8,0,0,56,310,49,2,Partner"
"578,Postgraduate,47472.0,39,2,2,0,4,5,0,0,60,286,75,2,Partner"
"579,Postgraduate,54603.0,85,6,4,2,4,7,0,0,70,355,227,2,Partner"
"580,Postgraduate,45207.0,64,5,3,1,6,6,0,0,52,596,215,2,Partner"
"581,Graduate,40689.0,69,7,7,1,5,8,0,0,75,468,444,1,Partner"
"582,Undergraduate,47821.0,54,1,1,0,3,8,0,0,59,252,47,2,Partner"
"583,Postgraduate,27450.0,57,1,2,1,3,7,0,0,75,440,143,0,Partner"
"584,Graduate,39453.0,64,2,2,0,3,6,0,0,43,87,55,1,Partner"
"585,Undergraduate,26850.0,10,4,2,1,4,4,0,0,55,72,63,2,Partner"
"586,Graduate,79800.0,65,1,5,11,5,3,0,1,71,644,1867,0,Alone"
"587,Postgraduate,61794.0,74,2,4,4,10,2,0,0,65,288,611,1,Partner"
"588,Graduate,53863.0,4,3,7,1,7,7,0,0,71,43,473,1,Partner"
"589,Graduate,24221.0,94,1,1,1,3,4,0,0,67,313,55,0,Partner"
"590,Postgraduate,39684.0,41,2,2,1,2,7,1,1,42,625,81,1,Alone"
"591,Postgraduate,92163.0,25,0,5,11,5,2,0,1,51,564,2086,0,Partner"
"592,Postgraduate,69882.0,94,1,3,7,9,1,0,0,61,231,1478,0,Alone"
"593,Graduate,33178.0,9,1,1,0,3,4,0,0,49,150,49,1,Partner"
"594,Postgraduate,59973.0,47,1,3,4,7,1,0,0,54,291,382,0,Partner"
"595,Postgraduate,17459.0,12,3,3,1,2,7,0,1,51,283,69,1,Partner"
"596,Graduate,23910.0,80,1,2,0,3,7,0,0,57,611,67,1,Alone"
"597,Postgraduate,42169.0,20,2,1,0,3,8,0,0,57,253,30,2,Partner"
"598,Undergraduate,26224.0,39,3,2,1,3,6,0,0,48,390,63,1,Partner"
"599,Graduate,31089.0,57,3,3,0,4,8,0,0,45,681,79,1,Partner"
"600,Graduate,30081.0,27,1,1,0,3,7,0,0,65,493,42,1,Alone"
"601,Graduate,62807.0,83,3,5,3,12,5,0,0,66,667,819,1,Partner"
"602,Graduate,72906.0,79,1,3,4,9,1,0,0,71,285,1151,0,Alone"
"603,Postgraduate,61467.0,69,3,5,2,10,5,0,0,78,567,594,2,Partner"
"604,Postgraduate,49618.0,77,4,3,1,3,7,0,0,60,519,129,2,Partner"
"605,Postgraduate,21888.0,15,4,5,1,2,10,0,1,40,547,213,1,Alone"
"606,Graduate,42429.0,99,2,1,1,3,5,0,0,53,138,67,1,Alone"
"607,Graduate,26150.0,61,1,1,0,3,7,0,0,70,475,28,3,Alone"
"608,Undergraduate,30801.0,23,2,1,0,3,7,0,0,51,611,45,1,Partner"
"609,Graduate,81168.0,84,1,6,4,7,3,0,0,61,53,1193,0,Partner"
"610,Postgraduate,26877.0,74,2,3,1,6,6,0,0,57,314,268,0,Alone"
"611,Postgraduate,45006.0,90,1,3,1,7,3,0,0,82,346,266,0,Alone"
"612,Undergraduate,18978.0,41,1,1,0,3,8,0,0,53,565,37,1,Partner"
"613,Graduate,22574.0,28,2,2,0,3,7,0,0,59,244,37,3,Partner"
"614,Postgraduate,48240.0,73,3,6,3,13,5,0,1,57,597,882,0,Alone"
"615,Graduate,45837.0,88,5,6,2,5,7,0,0,52,338,373,2,Partner"
"616,Postgraduate,35791.0,94,2,1,0,3,8,0,0,61,419,35,3,Alone"
"617,Postgraduate,162397.0,31,0,0,0,1,1,0,0,50,391,107,2,Partner"
"618,Graduate,54162.0,31,1,1,0,3,4,0,0,48,468,42,2,Alone"
"619,Postgraduate,30522.0,6,5,1,2,9,2,0,0,66,681,326,1,Partner"
"620,Postgraduate,54456.0,23,3,6,1,7,6,0,0,65,353,404,1,Partner"
"621,Graduate,31632.0,92,1,2,1,2,7,0,0,55,350,95,0,Alone"
"622,Graduate,72298.0,52,1,4,3,6,1,0,0,77,111,939,0,Alone"
"623,Undergraduate,36975.0,50,1,1,0,3,7,0,0,48,183,33,1,Alone"
"624,Undergraduate,72635.0,54,1,6,8,6,3,0,0,71,391,981,0,Partner"
"625,Graduate,13624.0,93,2,2,0,3,6,0,0,50,525,36,1,Partner"
"626,Graduate,84196.0,56,1,8,4,7,3,0,0,51,391,1237,1,Alone"
"627,Graduate,70971.0,28,7,11,11,5,7,0,1,66,646,1825,1,Partner"
"628,Postgraduate,34487.0,94,3,3,0,3,9,0,0,49,661,103,2,Alone"
"629,Graduate,28769.0,76,3,4,1,4,9,0,0,49,558,191,1,Alone"
"630,Postgraduate,69084.0,43,2,7,3,13,8,0,0,56,222,1586,1,Partner"
"631,Postgraduate,65488.0,46,1,3,4,6,1,0,0,68,16,963,0,Partner"
"632,Undergraduate,62466.0,13,5,6,3,12,4,0,0,56,165,889,1,Partner"
"633,Undergraduate,32218.0,27,1,2,1,3,7,0,1,66,134,93,0,Alone"
"634,Graduate,83917.0,12,1,6,7,7,3,0,1,53,437,1587,0,Alone"
"635,Graduate,46102.0,3,1,1,0,2,7,0,0,64,111,16,3,Alone"
"636,Graduate,84574.0,72,1,9,11,11,5,0,0,74,390,1375,0,Alone"
"637,Graduate,56181.0,6,1,4,2,7,4,0,0,64,537,393,1,Partner"
"638,Postgraduate,63120.0,53,5,8,4,9,7,0,1,76,639,1477,1,Alone"
"639,Graduate,73691.0,58,2,6,2,8,2,0,0,55,235,1179,1,Partner"
"640,Graduate,63381.0,78,4,4,5,13,2,0,0,66,632,1005,1,Partner"
"641,Postgraduate,76140.0,57,1,5,9,6,2,0,0,78,47,1348,0,Partner"
